area,ne
-0.00019019113783022223,119
0.00015960400582890782,25
0.00017048036978388467,177
4.334495531092789e-05,162
5.7518284040473366e-05,84
-0.00020458030444401448,136
0.000243924127882427,95
0.0001561594749153551,224
0.0,0
0.00026272924992088917,130
0.00039380190961773724,140
-6.767550548436687e-06,167
-3.532809123350384e-05,18
0.00010328104559216436,148
0.0,0
-0.0003859864520270557,166
-1.8941275473244757e-06,26
-0.000571508809473544,356
2.0925119290142357e-05,73
6.163149330691751e-05,269
-6.714767749544748e-05,25
9.896158357078568e-05,13
-0.0003879156849184191,109
0.00010817517378360258,19
-0.00027101881977459287,134
7.648241438555154e-05,41
0.0003127541275572018,153
0.0,0
4.34075893240985e-05,104
0.0002663578915359175,74
-8.515751272741024e-05,118
-1.816851018517412e-05,6
-0.0002445920780080537,85
7.765947280890339e-08,4
3.969155233116603e-06,40
5.788359780584512e-05,41
0.0004373250091679665,120
2.372878259997292e-06,77
0.00040261575400981947,184
8.647985005871925e-05,139
0.00011834815197019008,111
0.00032653827423561053,141
-0.00031243577917317613,49
-0.00010243349281735757,150
-0.00036268683126129534,101
0.0,0
0.00018277147039227507,17
5.103912164214993e-07,9
-4.3603416499670064e-07,5
-1.071603664439187e-08,2
0.0004638854906654682,85
9.048705783705345e-05,59
-0.0004253456871428431,161
0.00024955870563687064,97
0.0,0
-0.00019026986689439266,47
0.00011963925455219513,14
-0.00040034768777602445,72
-0.0003161681847699684,309
-0.00011515840072107364,109
0.00014250989729496885,33
5.727923424619853e-05,41
2.353987239183129e-09,2
0.0001281149289491337,148
-0.00017438486717180916,274
-9.387790520209051e-05,21
-7.84869465316142e-05,90
area,ne
0.0002247193622142389,88
-0.0005127682544387828,305
-0.00020626049965534197,34
-1.390747200789155e-06,22
-5.40838931663238e-05,63
-4.2761091391593796e-05,18
0.0,1
4.279199163082815e-07,7
-1.88483141184975e-05,55
0.0003421956019852641,100
0.00011775137655434216,336
-4.702233681344234e-07,5
2.560277885824734e-05,182
-0.00017388544647008034,25
4.4725144006879375e-05,237
-0.0003221687339793538,46
0.0002944407083096334,72
0.000277672128699358,246
-6.702206764429918e-07,9
-0.00010880946829061133,67
0.00019222682501324184,54
-0.0002019470710011353,36
4.235764733353975e-05,10
0.0,0
-0.00016324086922170843,108
3.437973780365058e-05,8
1.2774652365431768e-07,2
0.0002491679592061611,79
0.00013683611082577555,30
0.0,1
0.0005214850367381556,118
-2.0557430455142024e-05,106
0.00025873348870956596,137
7.30607568698235e-05,38
-9.467956962664803e-09,64
-3.759780605979307e-05,64
-0.00043508694003349826,84
0.0003322451392732487,58
7.817175605255159e-05,126
0.0004097299041369101,102
-0.0003747681907294376,187
9.424669433615737e-05,9
9.903966383836797e-05,207
1.2931522796881261e-05,49
0.0002658846872279414,327
9.136770715576951e-05,74
0.00024488215923591355,27
-4.372463360164586e-05,132
0.00018700229561673082,50
2.495513128584708e-05,179
0.00013657804947002207,41
-1.4386162233793866e-05,79
0.0002157194451382516,288
0.0003312990588193609,78
0.00022749965327877898,180
1.2874511398642935e-05,34
-0.00015461707501719776,52
1.653652051400585e-05,122
0.00045739564867034924,197
9.211424642500173e-05,115
0.00015356483454740026,41
-1.727831395662305e-05,97
-4.980565462296932e-05,182
-7.70728860106851e-05,128
-0.0002401327096593456,39
0.0002710656364251895,78
8.646501666369118e-06,140
-0.00018211458695333434,48
1.873393273907586e-07,84
0.0001535495899132402,166
-8.004757301636876e-06,9
-8.904373656687419e-05,105
-0.0003390600021872193,123
-0.00014938654921795906,61
-0.0002516003005505748,84
4.6741407104868774e-06,59
4.703537900774462e-05,115
-0.0005049601920484293,120
3.8829940858155157e-08,4
-0.0004251704408045619,153
1.1561825468011153e-07,77
-0.0002160919038033565,115
1.65822825294451e-05,131
7.737844569570835e-06,71
0.00028103463913053516,23
0.0,1
-0.0003027512478235276,222
-0.0001757147064964036,25
6.200309166602305e-05,71
-0.00012806246241584937,232
-1.8241409683466517e-08,2
6.784544792550972e-05,17
-0.00014056467409649407,325
-2.2144006032456333e-06,151
0.0003686641689079615,291
0.0004991768630911993,146
-0.00017766887114158367,107
-0.0004692760649848877,53
0.00047220738789701734,168
-0.0001505242469640362,46
area,ne
0.00035238248379604407,46
-0.00048536883305647473,242
0.0001372631855208946,187
-1.1676916487715202e-05,218
-1.3440890277251334e-05,77
-0.00044421216862354696,211
0.00015259439803063,28
0.00038739219575960137,82
-0.0001206686531909042,102
-6.713996602896218e-05,81
0.00017776042295237482,137
8.38286535830778e-06,95
0.0002058802558546817,183
-0.00014158429460434078,43
-0.0004168009392024262,150
0.00018147030245616906,85
2.005740151155455e-06,8
0.0001152899710684168,199
0.00036907853542111516,188
-0.0003142414809670665,94
-0.00042095564700546086,61
2.921723336403588e-07,2
3.891113999864225e-08,3
4.0529785952972786e-05,24
-0.00015211213154102328,83
0.00014253102505235173,164
0.00017797175947740728,58
-0.0002331260068829204,81
2.69626232719979e-05,89
0.000351445091042539,211
3.008965656089383e-06,346
0.00031110031506673466,84
0.00015638894076899928,74
-0.00024283482732890353,126
-3.952557183067879e-05,13
-2.1851574109102256e-06,4
0.0,1
0.0002793145255172972,222
0.0002476677905224135,130
1.431468720534517e-07,20
2.3809536756889788e-05,149
-0.00020078848224921222,130
0.0,0
0.0,1
-0.00020122911716244964,98
-5.742456477708478e-06,134
0.00035280542701552806,119
0.0,0
9.027959984650753e-05,48
0.000491891166941776,113
-1.2772102005249016e-07,4
0.0002228174440822986,119
-0.0004982783831191192,143
0.00036973856864857033,81
